target_hazard_ratio,target_power,two_sided_alpha,assumed_exposure_prevalence,assumed_recurrence_proportion,required_events,approximate_required_records
1.5,0.8,0.05,0.20063694267515925,0.2723076923076923,298,1094
1.5,0.9,0.05,0.20063694267515925,0.2723076923076923,399,1464
1.8,0.8,0.05,0.20063694267515925,0.2723076923076923,142,521
1.8,0.9,0.05,0.20063694267515925,0.2723076923076923,190,697
2.0,0.8,0.05,0.20063694267515925,0.2723076923076923,102,375
2.0,0.9,0.05,0.20063694267515925,0.2723076923076923,137,501
