term,spearman_rho,p_value,n_events,q_value
Recurrent-pneumothorax indication,-0.09578942470727884,0.20469634467177963,177,0.5458569191247457
Bleb or bulla not visualized,0.0973680807770545,0.1972988102818661,177,0.5458569191247457
Operative finding unknown,0.10765192231324655,0.1538059385271436,177,0.5458569191247457
"Age, per 5 years",0.012214143541089772,0.8718151514384965,177,0.9669812751579258
Male sex,0.046209937852585314,0.541362606722994,177,0.8661801707567903
Smoking history,-0.0552720890612071,0.4649648274398828,177,0.8661801707567903
Previous tube thoracostomy,-0.016312945397737685,0.8293726283481171,177,0.9669812751579258
Multiple wedge resection,-0.003133607343638906,0.9669812751579258,177,0.9669812751579258
