analysis,hazard_ratio,ci_low,ci_high,p_value,n
"Primary, unknown indicator",2.716311769155264,1.9553275036906401,3.7734597469349342,2.5512801595225983e-09,650
Known operative finding only,2.751096185704225,1.9794912383600614,3.8234724540971428,1.681720013787034e-09,628
Unknown treated as not visualized,2.4206126038052806,1.770793894436956,3.3088917892186616,2.9761866886651185e-08,650
Unknown treated as visualized,2.6820475909036934,1.9351505554761885,3.7172194481282665,3.136419040810338e-09,650
