grouping,level,n,events,recurrence_percent,ci_low_percent,ci_high_percent,median_follow_up_months
indication,Prolonged air leak,163,23,14.110429447852761,9.590067646959444,20.283477677442896,32.5
indication,Recurrent pneumothorax,487,154,31.62217659137577,27.64980821902642,35.88220465737789,34.0
bleb_status,Not visualized,126,54,42.857142857142854,34.55380049377765,51.58313899882517,30.6
bleb_status,Unknown,22,7,31.818181818181817,16.36059318135624,52.68140225895724,29.55
bleb_status,Bleb or bulla visualized,502,116,23.10756972111554,19.632794419791576,26.990797756802422,34.1
