characteristic,variable,n_complete,test,odds_ratio,ci_low,ci_high,cramers_v,p_value,q_value
Male sex,sex_male,650,Chi-square,1.047337278106509,0.6596137615619158,1.6629661751054703,0.0015272889789584374,0.9689395157221424,1.0
Right side,side_right,650,Chi-square,1.0098303753531208,0.7078207254034325,1.4407000959241474,0.0,1.0,1.0
Smoking history,smoking_history,650,Chi-square,1.1499697641604516,0.8070715789514488,1.6385541170974607,0.026769222163039723,0.49493300026292664,0.9898660005258533
Previous tube thoracostomy,previous_tube_thoracostomy,650,Chi-square,2.964105309713913,2.0590903674481407,4.266893977053919,0.2307014465629641,4.059367469021027e-09,3.247493975216822e-08
Tube during current admission,tube_current_admission,650,Chi-square,0.7125188032759485,0.43926900100395794,1.1557452127545313,0.051158473184831334,0.19213463316817764,0.7685385326727106
Bleb or bulla not visualized,bleb_not_visualized,628,Chi-square,0.789655110504677,0.5110214328706641,1.2202133872220011,0.03673010959273843,0.3573356087914179,0.9528949567771144
Multiple wedge resection,multiple_wedge,650,Chi-square,1.1060861678004534,0.7278390578893567,1.6809026629421056,0.015513221958270214,0.6924657259194102,1.0
Postoperative complication,postop_complication,650,Chi-square,0.9453583453583454,0.35152425655934,2.5423633916079553,0.0,1.0,1.0
